userId,movieId,movieTitle,rating
15,1,Toy Story,2.0
15,2,Jumanji,2.0
15,5,Grumpier Old Men,4.5
15,6,Waiting to Exhale,4.0
15,10,Father of the Bride Part II,3.0
15,11,Tom and Huck,2.5
15,14,Sudden Death,2.5
15,16,GoldenEye,3.5
15,17,The American President,3.0
15,19,Dracula: Dead and Loving It,1.0
15,21,Balto,4.5
15,22,Nixon,2.5
15,25,Cutthroat Island,3.0
15,32,Casino,4.0
15,34,Four Rooms,3.0
15,36,Ace Ventura: When Nature Calls,1.0
15,39,Money Train,2.5
15,44,Get Shorty,3.0
15,47,Copycat,5.0
15,50,Assassins,5.0
15,52,Powder,2.5
15,62,Leaving Las Vegas,2.0
15,70,Now and Then,0.5
15,82,The City of Lost Children,5.0
15,94,Shanghai Triad,3.0
15,95,Dangerous Minds,1.5
15,101,Twelve Monkeys,4.0
15,104,Wings of Courage,1.0
15,107,Babe,2.0
15,110,Carrington,3.0
15,111,Dead Man Walking,5.0
15,112,Across the Sea of Time,2.5
15,123,Clueless,4.0
15,125,Dead Presidents,3.5
15,145,Mortal Kombat,3.5
15,149,To Die For,5.0
15,150,How To Make An American Quilt,3.0
15,153,Se7en,1.0
15,157,Pocahontas,2.0
15,160,When Night Is Falling,0.5
15,161,The Usual Suspects,3.0
15,162,Guardian Angel,4.0
15,163,Mighty Aphrodite,2.0
15,164,The Big Green,4.0
15,165,Georgia,3.0
15,170,Kids of the Round Table,2.5
15,172,The Confessional,1.0
15,175,The Indian in the Cupboard,4.0
15,176,Mr. Holland's Opus,4.0
15,180,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,3.0
15,185,Two If by Sea,2.0
15,193,Bio-Dome,1.0
15,196,Lawnmower Man 2: Beyond Cyberspace,2.0
15,198,Two Bits,1.5
15,208,French Twist,1.5
15,214,From Dusk Till Dawn,2.0
15,215,Kicking and Screaming,4.5
15,216,Big Bully,1.0
15,223,Nico Icon,4.0
15,225,The Crossing Guard,1.0
15,230,The Juror,1.0
15,231,The White Balloon,3.5
15,232,Things to Do in Denver When You're Dead,4.0
15,233,Antonia's Line,4.0
15,235,Once Upon a Time... When We Were Colored,4.0
15,237,Last Summer in the Hamptons,3.5
15,246,Angels and Insects,5.0
15,247,White Squall,2.0
15,252,Dunston Checks In,2.0
15,253,Nick of Time,2.0
15,260,The Journey of August King,5.0
15,265,Mary Reilly,1.0
15,288,Vampire in Brooklyn,2.0
15,292,Beautiful Girls,1.0
15,293,A Midwinter's Tale,5.0
15,296,La Haine,5.0
15,300,Shopping,4.0
15,306,Heidi Fleiss: Hollywood Madam,5.0
15,307,City Hall,4.0
15,308,Bottle Rocket,4.0
15,316,Mr. Wrong,3.0
15,317,Happy Gilmore,1.0
15,318,The Bridges of Madison County,2.0
15,322,Nobody Loves Me,2.5
15,329,Muppet Treasure Island,1.5
15,335,Catwalk,2.0
15,339,Headless Body in Topless Bar,2.5
15,342,Braveheart,3.0
15,344,Taxi Driver,2.0
15,349,Rumble in the Bronx,3.0
15,353,Before and After,3.0
15,355,Margaret's Museum,0.5
15,356,Happiness Is in the Field,1.0
15,357,Anne Frank Remembered,3.5
15,364,The Young Poisoner's Handbook,4.0
15,367,If Lucy Fell,2.0
15,370,Steal Big Steal Little,3.5
15,371,Race the Sun,2.0
15,372,The Boys of St. Vincent,3.0
15,373,Boomerang,3.5
15,377,Chungking Express,4.0
15,380,The Star Maker,4.0
15,382,Flirting with Disaster,3.5
15,429,The Neverending Story III: Escape from Fantasia,1.0
15,431,The Silences of the Palace,4.0
15,434,Jupiter's Wife,3.0
15,435,Angela,1.0
15,440,Frankie Starlight,2.5
15,441,Jade,4.0
15,442,Nueba Yol,1.0
15,454,Sonic Outlaws,3.0
15,457,Down Periscope,5.0
15,466,From the Journals of Jean Seberg,2.5
15,471,The Neon Bible,3.0
15,474,Up Close & Personal,3.0
15,480,The Birdcage,3.0
15,481,Virgin Mary,3.0
15,483,The Brothers McMullen,1.0
15,485,The Amazing Panda Adventure,0.5
15,494,The Basketball Diaries,4.0
15,500,An Awfully Big Adventure,3.0
15,508,Amateur,1.5
15,509,Apollo 13,2.0
15,520,Rob Roy,3.5
15,524,The Addiction,2.5
15,527,Batman Forever,4.0
15,535,Belle de Jour,3.0
15,539,Beyond Rangoon,2.0
15,540,Blue in the Face,1.5
15,541,Canadian Bacon,5.0
15,543,Casper,3.0
15,549,Clockers,5.0
15,551,Congo,2.0
15,555,Crimson Tide,4.0
15,556,Crumb,3.5
15,562,Desperado,3.0
15,574,Devil in a Blue Dress,3.0
15,586,Die Hard: With a Vengeance,2.0
15,587,The Doom Generation,1.0
15,588,Feast of July,0.5
15,589,First Knight,4.0
15,590,Free Willy 2 - The Adventure Home,3.0
15,592,Hackers,4.0
15,593,Jeffrey,5.0
15,594,Johnny Mnemonic,2.5
15,597,Judge Dredd,2.5
15,608,Jury Duty,5.0
15,610,Kids,3.0
15,628,Living in Oblivion,2.5
15,647,Lord of Illusions,1.5
15,648,Love & Human Remains,4.0
15,663,Mallrats,2.0
15,665,Mighty Morphin Power Rangers: The Movie,3.0
15,674,Moonlight and Valentino,3.0
15,680,Mute Witness,2.0
15,708,Nadja,3.0
15,720,Nine Months,3.0
15,724,The Prophecy,2.0
15,733,Showgirls,3.5
15,736,Smoke,1.0
15,745,Something to Talk About,3.0
15,748,Species,2.5
15,750,The Stars Fell on Henrietta,4.0
15,762,Strange Days,2.0
15,778,The Umbrellas of Cherbourg,4.0
15,780,The Tie That Binds,2.5
15,784,Three Wishes,2.5
15,785,Total Eclipse,3.0
15,786,"To Wong Foo, Thanks for Everything! Julie Newmar",0.5
15,788,Under Siege 2: Dark Territory,1.5
15,799,Unstrung Heroes,3.0
15,800,Unzipped,5.0
15,802,A Walk in the Clouds,1.0
15,803,Waterworld,4.5
15,804,White Man's Burden,3.5
15,832,Bushwhacked,1.0
15,836,Burnt by the Sun,2.0
15,851,Before the Rain,4.0
15,858,Before Sunrise,5.0
15,866,Billy Madison,4.0
15,899,The Babysitter,5.0
15,903,Boys on the Side,5.0
15,904,Castle Freak,5.0
15,908,Circle of Friends,5.0
15,909,Clerks,4.0
15,910,Don Juan DeMarco,2.5
15,911,Disclosure,4.0
15,912,Dream Man,5.0
15,913,Drop Zone,4.0
15,914,Destiny Turns on the Radio,1.5
15,916,Death and the Maiden,1.0
15,919,Dolores Claiborne,3.0
15,920,Dumb and Dumber,3.5
15,922,Eat Drink Man Woman,1.0
15,923,Exotica,5.0
15,924,Exit to Eden,5.0
15,926,Ed Wood,3.0
15,931,French Kiss,1.0
15,953,Forget Paris,3.0
15,994,Far from Home: The Adventures of Yellow Dog,4.0
15,1020,A Goofy Movie,2.0
15,1035,Hideaway,2.0
15,1036,Farinelli,4.0
15,1041,Gordy,5.0
15,1047,Gumby: The Movie,2.5
15,1059,The Glass Shield,1.5
15,1060,Hoop Dreams,4.0
15,1073,Heavenly Creatures,3.0
15,1079,Houseguest,4.0
15,1084,Immortal Beloved,3.0
15,1088,I.Q.,2.0
15,1089,Interview with the Vampire,4.0
15,1092,Jefferson in Paris,2.5
15,1093,The Jerky Boys,2.0
15,1094,Just Cause,4.0
15,1095,A Kid in King Arthur's Court,4.0
15,1097,Star Wars,4.0
15,1100,Ladybird Ladybird,2.5
15,1101,L'Enfer,3.0
15,1120,Like Water for Chocolate,1.0
15,1127,Legends of the Fall,4.0
15,1131,Major Payne,2.5
15,1136,Little Odessa,2.5
15,1147,Mi Vida Loca,3.5
15,1148,Losing Isaiah,3.0
15,1171,The Madness of King George,4.0
15,1173,Mary Shelley's Frankenstein,3.0
15,1176,Mixed Nuts,4.0
15,1178,Milk Money,3.0
15,1179,Miami Rhapsody,4.0
15,1183,My Family,2.0
15,1186,Murder in the First,4.5
15,1189,Nell,3.5
15,1193,New Jersey Drive,5.0
15,1196,New York Cop,5.0
15,1197,Beyond Bedlam,1.0
15,1198,Nemesis 2 - Nebula,4.0
15,1199,Nina Takes a Lover,1.0
15,1200,Natural Born Killers,4.0
15,1201,Only You,3.5
15,1203,Once Were Warriors,4.0
15,1204,Poison Ivy II: Lily,2.0
15,1206,Outbreak,5.0
15,1207,Leon: The Professional,3.0
15,1208,The Perez Family,5.0
15,1209,A Pyromaniac's Love Story,4.5
15,1210,Pulp Fiction,5.0
15,1211,Panther,1.5
15,1212,Pushing Hands,3.0
15,1213,Quiz Show,3.0
15,1214,Picture Bride,4.0
15,1215,Queen Margot,1.5
15,1217,Roommates,2.0
15,1218,Prêt-à-Porter,4.0
15,1219,Three Colors: Red,3.0
15,1220,Three Colors: Blue,1.0
15,1221,Three Colors: White,5.0
15,1222,"Red Firecracker, Green Firecracker",4.0
15,1223,Rent-a-Kid,4.0
15,1225,Relative Fear,4.0
15,1228,Stuart Saves His Family,4.0
15,1230,The Swan Princess,3.0
15,1231,The Secret of Roan Inish,4.0
15,1233,The Specialist,3.0
15,1234,Stargate,4.0
15,1235,The Santa Clause,3.5
15,1240,The Shawshank Redemption,3.0
15,1243,Shallow Grave,2.0
15,1244,Suture,5.0
15,1246,Strawberry and Chocolate,1.0
15,1247,Swimming with Sharks,5.0
15,1248,The Sum of Us,3.0
15,1249,Senior Trip,3.0
15,1250,To Live,4.0
15,1251,Tank Girl,3.0
15,1252,Tales from the Crypt: Demon Knight,5.0
15,1254,Star Trek: Generations,3.5
15,1258,Tales from the Hood,4.0
15,1259,Tom & Viv,3.0
15,1260,Tommy Boy,3.0
15,1262,Vanya on 42nd Street,1.5
15,1263,What's Eating Gilbert Grape,4.0
15,1264,Virtuosity,3.0
15,1265,While You Were Sleeping,4.0
15,1266,Double Happiness,4.0
15,1267,Muriel's Wedding,5.0
15,1270,The Baby-Sitters Club,5.0
15,1272,Ace Ventura: Pet Detective,3.5
15,1276,"The Adventures of Priscilla, Queen of the Desert",2.5
15,1280,Backbeat,3.0
15,1281,Bitter Moon,1.0
15,1283,Bullets Over Broadway,3.0
15,1284,Clear and Present Danger,3.0
15,1287,"Corrina, Corrina",2.0
15,1288,Crooklyn,4.0
15,1289,The Crow,4.0
15,1290,Cobb,3.0
15,1291,The Flintstones,4.0
15,1293,Forrest Gump,4.0
15,1297,Four Weddings and a Funeral,4.0
15,1302,Higher Learning,3.0
15,1303,I Like It Like That,2.0
15,1304,It Could Happen to You,3.0
15,1307,"The Wonderful, Horrible Life of Leni Riefenstahl",5.0
15,1320,The Lion King,3.0
15,1333,Little Buddha,2.0
15,1334,New Nightmare,2.0
15,1339,Maverick,2.0
15,1342,Mrs. Parker and the Vicious Circle,2.0
15,1356,The Naked Gun 33⅓: The Final Insult,2.0
15,1358,The Paper,1.0
15,1361,Reality Bites,3.5
15,1370,Red Rock West,3.0
15,1377,Ri¢hie Ri¢h,3.0
15,1380,Safe Passage,2.5
15,1385,The River Wild,3.0
15,1387,Speed,4.0
15,1391,Speechless,0.5
15,1393,Timecop,3.5
15,1394,True Lies,4.0
15,1396,When a Man Loves a Woman,4.0
15,1405,Wyatt Earp,3.0
